Genes	logFC	logCPM	PValue	FDR
8_262	-4.68992199942127	6.04772357006867	1.08223269834037e-25	3.48728674872908e-23
75_20	-5.84709091184481	5.47863109801531	1.16948873179632e-25	3.7113547708294e-23
19_60	-6.80183342525222	7.56188663735624	1.63950927785091e-25	5.12530176486377e-23
94_31	-4.61952692869171	7.10078628758079	3.62245105037205e-25	1.11576819485357e-22
33_120	-4.75014903285788	5.2339321805509	4.63497924109685e-25	1.40695130731556e-22
165_4	-5.03222280145431	4.14156509695347	8.66847969803245e-25	2.59373296107557e-22
37_68	-6.76457638634558	3.24688993675506	1.16578715308706e-24	3.43907210160683e-22
141_2	-6.96264737415759	3.0635303670651	1.41471644072923e-24	4.11544942376025e-22
258_3	-4.36466186724801	5.15575517629837	1.7596898928834e-24	5.04886367211546e-22
49_108	4.74884401382782	4.08278630894159	2.56235958337108e-24	7.25251641536585e-22
3_21	8.31937096661329	5.79398324581231	2.84729410352088e-24	7.9515433330993e-22
26718_2	6.03293294922631	3.29055383638371	3.15354256413673e-24	8.69091434287419e-22
13_253	-5.1152575223803	7.68556351910991	5.0304622587037e-24	1.36835106504609e-21
4_186	-6.10088454330911	3.84124627897145	5.73213399253857e-24	1.53922495479129e-21
17_160	-4.64403226007849	7.29132222506882	6.02106095972492e-24	1.59634331394226e-21
35589_1	-4.52611654331124	4.74053543074179	6.10081764098093e-24	1.59727031862932e-21
9_178	-4.30710357779308	6.06573748291203	6.53723274448859e-24	1.6903992572014e-21
19_160	11.182891963724	2.510225156135	7.43607500355876e-24	1.89937306036022e-21
97_27	-4.46388343576088	4.63830650135351	7.59188447708992e-24	1.91580747436926e-21
18_89	-5.85313229278348	3.77654383705015	9.13325969716205e-24	2.27733481377451e-21
14_195	-4.69148248955985	4.09023854414633	1.88085451756154e-23	4.63464680827371e-21
3_355	-4.49693356779995	5.9545585340771	2.39168869065544e-23	5.82487437509049e-21
19_82	-5.05909777643969	6.57768329043941	2.54531014756519e-23	6.12776103916699e-21
531_3	4.82892632512913	8.85221563833008	2.66493636135344e-23	6.34285137369862e-21
41_82	-4.29307083306674	4.97404276752029	3.58585099924232e-23	8.43883698641914e-21
65_8	-4.77168839966161	6.89004584559148	5.55014152360391e-23	1.29164126902093e-20
20_170	-10.7287810522235	2.08424461536515	5.77865622470891e-23	1.33004345743437e-20
1103_1	-4.16088083000764	4.81116429010608	8.07474966329532e-23	1.83832208367088e-20
8_103	-5.23052384704939	4.00884156564356	8.77149233720089e-23	1.97547211830831e-20
