City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Dropoff Time,Distance (miles),Fare Amount,Fare Currency
Merida,UberX,COMPLETED,2018-08-15 15:15:33 +0000 UTC,2018-08-15 15:16:10 +0000 UTC,2018-08-15 15:20:03 +0000 UTC,0.93,22.7,MXN
Merida,UberX,COMPLETED,2018-08-12 06:22:29 +0000 UTC,2018-08-12 06:35:26 +0000 UTC,2018-08-12 06:52:09 +0000 UTC,4,54.05,MXN
Merida,UberX,COMPLETED,2018-08-12 02:52:21 +0000 UTC,2018-08-12 02:54:56 +0000 UTC,2018-08-12 03:00:24 +0000 UTC,1.68,22.79,MXN
Merida,UberX,COMPLETED,2018-08-10 22:04:18 +0000 UTC,2018-08-10 22:06:28 +0000 UTC,2018-08-10 22:10:42 +0000 UTC,1.44,30.36,MXN
Mexico City,UberX,COMPLETED,2018-08-05 22:03:29 +0000 UTC,2018-08-05 22:09:21 +0000 UTC,2018-08-05 22:41:34 +0000 UTC,8.49,130.55,MXN
Mexico City,UberX,COMPLETED,2018-08-05 20:46:49 +0000 UTC,2018-08-05 20:50:25 +0000 UTC,2018-08-05 21:06:45 +0000 UTC,4.27,72.76,MXN
Mexico City,UberX,COMPLETED,2018-08-05 14:29:20 +0000 UTC,2018-08-05 14:33:06 +0000 UTC,2018-08-05 14:41:37 +0000 UTC,1.73,40.14,MXN
Mexico City,UberX,COMPLETED,2018-08-05 01:57:21 +0000 UTC,2018-08-05 02:03:56 +0000 UTC,2018-08-05 02:13:14 +0000 UTC,1.39,40.14,MXN
Mexico City,UberX,COMPLETED,2018-08-04 19:28:36 +0000 UTC,2018-08-04 19:31:23 +0000 UTC,2018-08-04 19:45:16 +0000 UTC,1.74,43.02,MXN
Merida,UberX,COMPLETED,2018-07-22 05:23:30 +0000 UTC,2018-07-22 05:25:22 +0000 UTC,2018-07-22 05:39:35 +0000 UTC,3.63,70.87,MXN
Merida,UberX,COMPLETED,2018-07-22 01:59:43 +0000 UTC,2018-07-22 02:06:59 +0000 UTC,2018-07-22 02:27:04 +0000 UTC,4.01,63.49,MXN
Merida,UberX,COMPLETED,2018-07-19 18:29:28 +0000 UTC,2018-07-19 18:31:40 +0000 UTC,2018-07-19 18:39:40 +0000 UTC,1.68,28.97,MXN
Merida,UberX,COMPLETED,2018-07-16 04:26:56 +0000 UTC,2018-07-16 04:38:03 +0000 UTC,2018-07-16 04:56:28 +0000 UTC,4.27,89.02,MXN
Merida,UberX,COMPLETED,2018-07-08 21:31:22 +0000 UTC,2018-07-08 21:35:07 +0000 UTC,2018-07-08 21:43:27 +0000 UTC,2.34,34.08,MXN
Merida,UberX,COMPLETED,2018-07-08 17:11:22 +0000 UTC,2018-07-08 17:15:38 +0000 UTC,2018-07-08 17:23:04 +0000 UTC,2.37,30.04,MXN
Merida,UberX,COMPLETED,2018-06-29 22:42:58 +0000 UTC,2018-06-29 22:57:54 +0000 UTC,2018-06-29 23:01:14 +0000 UTC,0.7,24.69,MXN
Merida,UberX,COMPLETED,2018-06-29 21:07:23 +0000 UTC,2018-06-29 21:11:19 +0000 UTC,2018-06-29 21:15:13 +0000 UTC,1.26,37.04,MXN
Merida,UberX,COMPLETED,2018-06-20 15:04:25 +0000 UTC,2018-06-20 15:08:14 +0000 UTC,2018-06-20 15:12:50 +0000 UTC,1.34,22.7,MXN
Merida,UberX,COMPLETED,2018-06-20 00:32:45 +0000 UTC,2018-06-20 00:33:45 +0000 UTC,2018-06-20 00:48:16 +0000 UTC,3.7,53.67,MXN
Merida,UberX,COMPLETED,2018-06-19 21:35:55 +0000 UTC,2018-06-19 21:40:15 +0000 UTC,2018-06-19 21:46:43 +0000 UTC,1.86,28.34,MXN
Merida,UberX,COMPLETED,2018-06-17 04:27:58 +0000 UTC,2018-06-17 04:29:56 +0000 UTC,2018-06-17 04:46:58 +0000 UTC,5.31,73.71,MXN
Merida,UberX,COMPLETED,2018-06-14 23:19:22 +0000 UTC,2018-06-14 23:27:47 +0000 UTC,2018-06-14 23:35:19 +0000 UTC,1.65,34.44,MXN
Merida,UberX,COMPLETED,2018-06-09 17:49:59 +0000 UTC,2018-06-09 17:52:58 +0000 UTC,2018-06-09 18:00:51 +0000 UTC,1.34,28.23,MXN
Merida,UberX,COMPLETED,2018-06-05 19:06:48 +0000 UTC,2018-06-05 19:12:12 +0000 UTC,2018-06-05 19:24:57 +0000 UTC,1.94,38.87,MXN
Merida,uberX,COMPLETED,2018-06-01 22:37:42 +0000 UTC,2018-06-01 22:45:05 +0000 UTC,2018-06-01 22:51:44 +0000 UTC,1.6,31.47,MXN
Merida,uberX,COMPLETED,2018-05-27 04:10:38 +0000 UTC,2018-05-27 04:12:42 +0000 UTC,2018-05-27 04:20:40 +0000 UTC,1.9,29.63,MXN
Merida,uberX,COMPLETED,2018-05-26 05:37:18 +0000 UTC,2018-05-26 05:42:16 +0000 UTC,2018-05-26 05:58:33 +0000 UTC,4.09,57.07,MXN
Merida,uberX,COMPLETED,2018-05-26 05:11:13 +0000 UTC,2018-05-26 05:17:03 +0000 UTC,2018-05-26 05:23:21 +0000 UTC,1.45,24.53,MXN
Merida,uberX,COMPLETED,2018-05-18 21:12:11 +0000 UTC,2018-05-18 21:14:22 +0000 UTC,2018-05-18 21:21:44 +0000 UTC,1.49,27.81,MXN
Merida,uberX,COMPLETED,2018-05-12 17:50:39 +0000 UTC,2018-05-12 17:51:57 +0000 UTC,2018-05-12 17:58:14 +0000 UTC,1.25,22.7,MXN
Merida,uberX,COMPLETED,2018-05-12 07:28:30 +0000 UTC,2018-05-12 07:31:41 +0000 UTC,2018-05-12 07:34:23 +0000 UTC,0.68,22.7,MXN
Merida,uberX,COMPLETED,2018-05-12 00:59:32 +0000 UTC,2018-05-12 01:00:15 +0000 UTC,2018-05-12 01:05:55 +0000 UTC,1.17,24.77,MXN
Merida,uberX,COMPLETED,2018-05-11 22:59:55 +0000 UTC,2018-05-11 23:04:26 +0000 UTC,2018-05-11 23:13:44 +0000 UTC,2.53,42.87,MXN
Merida,uberX,COMPLETED,2018-05-05 13:48:52 +0000 UTC,2018-05-05 13:52:25 +0000 UTC,2018-05-05 13:57:37 +0000 UTC,1.38,31.6,MXN
Merida,uberX,COMPLETED,2018-05-05 06:02:39 +0000 UTC,2018-05-05 06:03:53 +0000 UTC,2018-05-05 06:22:00 +0000 UTC,5.93,73.54,MXN
Merida,uberX,COMPLETED,2018-04-29 15:32:37 +0000 UTC,2018-04-29 15:34:16 +0000 UTC,2018-04-29 15:47:43 +0000 UTC,9.01,89.65,MXN
Merida,uberX,COMPLETED,2018-04-22 01:14:08 +0000 UTC,2018-04-22 01:18:11 +0000 UTC,2018-04-22 01:32:32 +0000 UTC,2.7,46.35,MXN
Merida,uberX,COMPLETED,2018-04-21 19:42:38 +0000 UTC,2018-04-21 19:46:03 +0000 UTC,2018-04-21 19:58:30 +0000 UTC,3.01,61.05,MXN
Merida,uberX,COMPLETED,2018-04-20 22:50:48 +0000 UTC,2018-04-20 22:52:53 +0000 UTC,2018-04-20 22:58:38 +0000 UTC,1.56,36.98,MXN
Merida,uberX,COMPLETED,2018-04-19 22:11:15 +0000 UTC,2018-04-19 22:13:02 +0000 UTC,2018-04-19 22:20:58 +0000 UTC,1.71,25.72,MXN
Merida,uberX,COMPLETED,2018-04-03 22:36:15 +0000 UTC,2018-04-03 22:38:59 +0000 UTC,2018-04-03 22:56:37 +0000 UTC,4.5,66.35,MXN
Merida,uberX,COMPLETED,2018-03-23 14:57:44 +0000 UTC,2018-03-23 15:06:02 +0000 UTC,2018-03-23 15:09:43 +0000 UTC,0.96,22.7,MXN
Merida,uberX,COMPLETED,2018-03-11 08:10:50 +0000 UTC,2018-03-11 08:14:12 +0000 UTC,2018-03-11 08:37:13 +0000 UTC,6.23,83.93,MXN
