Genes	logFC	PValue	FDR
731_1	3.99548741676044	2.27740956293695e-19	2.99075286303385e-17
475_2	-4.78795161460821	2.28465246161574e-19	2.99075286303385e-17
19_282	4.3620614263623	2.34390527439609e-19	3.04926061939293e-17
42_167	11.2713042962161	3.46946137915762e-19	4.48567090039854e-17
129_1	-6.95212892269771	3.60923136370062e-19	4.63775158973678e-17
12_98	-5.14049988618243	4.49874629201014e-19	5.7455025052532e-17
5_226	-3.85647644118364	4.90761400206751e-19	6.22969547110934e-17
17_42	-4.16430630094676	5.2326650517091e-19	6.60229936795464e-17
107_112	-4.06062440261943	5.68440582505834e-19	7.12933413208664e-17
36_47	4.86818758207889	5.85533525486814e-19	7.29999981626269e-17
62_171	4.89378703365085	6.19749708006299e-19	7.68086250543901e-17
2_212	-4.72383656344388	8.40278510197015e-19	1.03527255271038e-16
286_3	-3.82178216878329	1.5025115837995e-18	1.84035702471816e-16
112_49	-4.0892859106096	2.29671677547925e-18	2.79678679432634e-16
20_202	-4.00435081324539	2.73635447586177e-18	3.31288696514017e-16
157_8	4.49211367867559	2.86375905445677e-18	3.44720881583891e-16
84_49	3.74986385522062	2.95043576385039e-18	3.53125011850551e-16
485_1	4.00440190831174	3.14101268455428e-18	3.7379835612494e-16
135_41	-4.57335082352944	3.22727034863519e-18	3.81893657921831e-16
20_154	-6.41530384542591	3.35111541486474e-18	3.94320855979449e-16
37_203	-4.82574627349089	3.74243152827291e-18	4.37906303685342e-16
84_120	4.17877095356715	3.7928331871757e-18	4.41338283918861e-16
81_90	3.93256110719794	4.01317998575959e-18	4.64398092827263e-16
8_225	5.12834261475507	4.17627966700582e-18	4.80616360579324e-16
126_51	-3.73503424449599	4.224812325286e-18	4.8354477679298e-16
328_2	-10.0861778785307	4.56111003796746e-18	5.19198096441459e-16
80_122	8.26750485253243	4.7008773967961e-18	5.32215551761591e-16
198_12	-4.39618810272251	4.86112020348104e-18	5.47398723988765e-16
29394_2	7.15322507563393	5.20134687396927e-18	5.82578664573724e-16
12_158	-3.95518734256433	5.48758987022487e-18	6.11370052297127e-16
2443_2	-4.34347020081365	5.80125363535461e-18	6.42895541759271e-16
58_5	9.06302135889802	6.3834726498382e-18	7.0369386658348e-16
258_11	-5.40219730265756	7.79984730110347e-18	8.55328804825195e-16
34_84	3.38485975158966	8.8375010766673e-18	9.64070104431233e-16
144_10	-5.37998205597097	9.80812310635797e-18	1.06441004384802e-15
152_10	4.34422953925566	1.17058831677337e-17	1.26381300488754e-15
197_26	-9.92250095260573	1.26108216663498e-17	1.35453158872665e-15
107_53	6.15304529273792	1.53094721977389e-17	1.63600456725327e-15
47_66	-3.67948713520478	2.0108970550011e-17	2.13798166583747e-15
3_20	11.5253287778039	2.57942471042556e-17	2.72858841211431e-15
292_7	-5.78513939967151	2.64106568152769e-17	2.779754809025e-15
2_290	-4.08164887883284	2.82263958512974e-17	2.95600930552712e-15
36_156	-4.09948516348274	3.25144681660355e-17	3.38813699371947e-15
